Method,gt,taxa,dup,ils,loss,Error
wQFM-GDL-T,500,500,0.25,70.0,1.0,0.0461847389558232
wQFM-GDL-T,500,500,0.25,70.0,1.0,0.0542168674698795
wQFM-GDL-T,500,500,0.25,70.0,1.0,0.038152610441767
wQFM-GDL-T,500,500,0.25,70.0,1.0,0.0481927710843373
wQFM-GDL-T,500,500,0.25,70.0,1.0,0.072289156626506
wQFM-GDL-T,500,500,0.25,70.0,1.0,0.0542168674698795
wQFM-GDL-T,500,500,0.25,70.0,1.0,0.0642570281124498
wQFM-GDL-T,500,500,0.25,70.0,1.0,0.1385542168674698
wQFM-GDL-T,500,500,0.25,70.0,1.0,0.0542168674698795
wQFM-GDL-T,500,500,3.0,25.0,1.0,0.0863453815261044
wQFM-GDL-T,500,500,3.0,25.0,1.0,0.0602409638554216
wQFM-GDL-T,500,500,3.0,25.0,1.0,0.0160642570281124
wQFM-GDL-T,500,500,3.0,25.0,1.0,0.0301204819277108
wQFM-GDL-T,500,500,3.0,25.0,1.0,0.0140562248995983
wQFM-GDL-T,500,500,3.0,25.0,1.0,0.0160642570281124
wQFM-GDL-T,500,500,3.0,25.0,1.0,0.036144578313253
wQFM-GDL-T,500,500,3.0,25.0,1.0,0.0261044176706827
wQFM-GDL-T,500,500,3.0,25.0,1.0,0.0261044176706827
wQFM-GDL-T,500,500,3.0,25.0,1.0,0.0200803212851405
wQFM-GDL-T,500,500,0.0,25.0,1.0,0.1004016064257028
wQFM-GDL-T,500,500,0.0,25.0,1.0,0.0622489959839357
wQFM-GDL-T,500,500,0.0,25.0,1.0,0.0502008032128514
wQFM-GDL-T,500,500,0.0,25.0,1.0,0.0421686746987951
wQFM-GDL-T,500,500,0.0,25.0,1.0,0.0321285140562249
wQFM-GDL-T,500,500,0.0,25.0,1.0,0.0682730923694779
wQFM-GDL-T,500,500,0.0,25.0,1.0,0.0281124497991967
wQFM-GDL-T,500,500,0.0,25.0,1.0,0.0542168674698795
wQFM-GDL-T,500,500,0.0,25.0,1.0,0.0281124497991967
wQFM-GDL-T,500,500,0.0,25.0,1.0,0.0240963855421686
wQFM-GDL-T,500,500,3.0,70.0,0.1,0.0963855421686747
wQFM-GDL-T,500,500,3.0,70.0,0.1,0.0281124497991967
wQFM-GDL-T,500,500,3.0,70.0,0.1,0.0662650602409638
wQFM-GDL-T,500,500,3.0,70.0,0.1,0.0682730923694779
wQFM-GDL-T,500,500,3.0,70.0,0.1,0.0261044176706827
wQFM-GDL-T,500,500,3.0,70.0,0.1,0.0522088353413654
wQFM-GDL-T,500,500,3.0,70.0,0.1,0.036144578313253
wQFM-GDL-T,500,500,3.0,70.0,0.1,0.0281124497991967
wQFM-GDL-T,500,500,3.0,70.0,0.1,0.0622489959839357
wQFM-GDL-T,500,500,3.0,70.0,0.1,0.0522088353413654
wQFM-GDL-T,500,500,0.0,70.0,1.0,0.1224899598393574
wQFM-GDL-T,500,500,0.0,70.0,1.0,0.0502008032128514
wQFM-GDL-T,500,500,0.0,70.0,1.0,0.0602409638554216
wQFM-GDL-T,500,500,0.0,70.0,1.0,0.0522088353413654
wQFM-GDL-T,500,500,0.0,70.0,1.0,0.0602409638554216
wQFM-GDL-T,500,500,0.0,70.0,1.0,0.1124497991967871
wQFM-GDL-T,500,500,0.0,70.0,1.0,0.0441767068273092
wQFM-GDL-T,500,500,0.0,70.0,1.0,0.07429718875502
wQFM-GDL-T,500,500,0.0,70.0,1.0,0.0562248995983935
wQFM-GDL-T,500,500,0.0,70.0,1.0,0.0823293172690763
wQFM-GDL-T,500,500,3.0,70.0,1.0,0.1144578313253012
wQFM-GDL-T,500,500,3.0,70.0,1.0,0.0542168674698795
wQFM-GDL-T,500,500,3.0,70.0,1.0,0.0522088353413654
wQFM-GDL-T,500,500,3.0,70.0,1.0,0.038152610441767
wQFM-GDL-T,500,500,3.0,70.0,1.0,0.0622489959839357
wQFM-GDL-T,500,500,3.0,70.0,1.0,0.0702811244979919
wQFM-GDL-T,500,500,3.0,70.0,1.0,0.0783132530120482
wQFM-GDL-T,500,500,3.0,70.0,1.0,0.0421686746987951
wQFM-GDL-T,500,500,3.0,70.0,1.0,0.0522088353413654
wQFM-GDL-T,500,500,3.0,70.0,1.0,0.0341365461847389
wQFM-GDL-T,500,500,1.0,25.0,1.0,0.0883534136546184
wQFM-GDL-T,500,500,1.0,25.0,1.0,0.0220883534136546
wQFM-GDL-T,500,500,1.0,25.0,1.0,0.0080321285140562
wQFM-GDL-T,500,500,1.0,25.0,1.0,0.0160642570281124
wQFM-GDL-T,500,500,1.0,25.0,1.0,0.0441767068273092
wQFM-GDL-T,500,500,1.0,25.0,1.0,0.0522088353413654
wQFM-GDL-T,500,500,1.0,25.0,1.0,0.0301204819277108
wQFM-GDL-T,500,500,1.0,25.0,1.0,0.0160642570281124
wQFM-GDL-T,500,500,1.0,25.0,1.0,0.0240963855421686
wQFM-GDL-T,500,500,1.0,25.0,1.0,0.0281124497991967
wQFM-GDL-T,1000,200,3.0,70.0,1.0,0.0656565656565656
wQFM-GDL-T,1000,200,3.0,70.0,1.0,0.0353535353535353
wQFM-GDL-T,1000,200,3.0,70.0,1.0,0.0303030303030303
wQFM-GDL-T,1000,200,3.0,70.0,1.0,0.0454545454545454
wQFM-GDL-T,1000,200,3.0,70.0,1.0,0.0353535353535353
wQFM-GDL-T,1000,200,3.0,70.0,1.0,0.0353535353535353
