Method,gt,taxa,dup,ils,loss,Error
apro3,500,200,3.0,70.0,1.0,0.07070707071
apro3,500,200,3.0,70.0,1.0,0.05555555556
apro3,500,200,3.0,70.0,1.0,0.06060606061
apro3,500,200,3.0,70.0,1.0,0.05555555556
apro3,500,200,3.0,70.0,1.0,0.05555555556
apro3,500,500,0.25,70.0,0.1,0.1305220884
apro3,500,500,0.25,70.0,0.1,0.05220883534
apro3,500,500,0.25,70.0,0.1,0.1947791165
apro3,500,500,0.25,70.0,0.1,0.0562248996
apro3,500,500,0.25,70.0,0.1,0.05823293173
apro3,500,500,0.25,70.0,0.1,0.04618473896
apro3,500,500,0.25,70.0,0.1,0.06626506024
apro3,500,500,0.25,70.0,0.1,0.06024096386
apro3,500,500,0.25,70.0,0.1,0.08835341365
apro3,500,500,0.25,70.0,0.1,0.0562248996
apro3,500,500,0.25,70.0,1.0,0.1385542169
apro3,500,500,0.25,70.0,1.0,0.06224899598
apro3,500,500,0.25,70.0,1.0,0.0562248996
apro3,500,500,0.25,70.0,1.0,0.04417670683
apro3,500,500,0.25,70.0,1.0,0.06024096386
apro3,500,500,0.25,70.0,1.0,0.09638554217
apro3,500,500,0.25,70.0,1.0,0.07630522088
apro3,500,500,0.25,70.0,1.0,0.0702811245
apro3,500,500,0.25,70.0,1.0,0.1827309237
apro3,500,500,0.25,70.0,1.0,0.06626506024
apro3,500,500,0.0,25.0,1.0,0.1285140562
apro3,500,500,0.0,25.0,1.0,0.0702811245
apro3,500,500,0.0,25.0,1.0,0.06224899598
apro3,500,500,0.0,25.0,1.0,0.05421686747
apro3,500,500,0.0,25.0,1.0,0.04016064257
apro3,500,500,0.0,25.0,1.0,0.08032128514
apro3,500,500,0.0,25.0,1.0,0.02610441767
apro3,500,500,0.0,25.0,1.0,0.05823293173
apro3,500,500,0.0,25.0,1.0,0.04016064257
apro3,500,500,0.0,25.0,1.0,0.02008032129
apro3,500,500,0.0,70.0,1.0,0.1606425703
